,Stock,RightMovementWithSentiment,RightMovementcountWithoutSentiment,TotalErrorWithSentiment,TotalErrorWithoutSentiment,Count
0,STEM,22,18,36.514893738403316,54.824392874633766,40
1,PLTR,14,15,85.26118100280759,46.02880598645024,40
2,TSLA,10,14,1747.7571633353273,987.4954004525147,40
3,X,23,20,32.86427861035155,53.16240405175783,40
4,HOOD,6,5,11.978878425048794,11.946177457763646,12
5,ADGI,3,8,35.24616239808349,18.092524351501467,11
6,OCGN,22,24,31.117854481213392,42.14876989456786,40
7,GME,18,19,508.71546741699245,319.3620918310545,40
8,MSFT,19,19,208.2439232910155,219.75557620117178,40
9,FB,18,17,422.14357189281554,445.25841535281535,40
10,PROG,15,19,12.958228276782835,8.528559927819519,40
11,AMC,20,19,212.1176706975098,112.43681028881834,40
12,SU,21,20,27.154311621246347,20.639599163482675,40
13,SAND,14,14,13.260925901086445,14.80978862070316,40
14,NVDA,21,20,210.50043027001996,228.60024247705113,40
15,CRSR,22,21,34.04628324523923,31.589180534057604,40
16,SPCE,20,21,39.807826272460915,56.75092274658202,40
17,UWMC,22,21,12.360394295367424,9.81063872833862,40
18,BBBY,10,12,146.9556587956543,119.59383379565429,40
19,PLUG,19,20,67.77071955859375,61.80009055859378,40
20,ENPH,22,23,184.03649850415025,177.28147647680657,40
21,QS,22,23,53.35555401635746,50.85887554223633,40
22,MP,20,16,48.617266915527324,48.55551200268551,40
23,DIS,21,21,113.85793123168938,115.85085536254886,40
24,DKNG,22,20,64.80851000549316,58.087717277954084,40
25,RPAY,18,21,21.52629065250504,17.984398692856598,40
26,ZOM,18,17,8.52682275667878,1.7893753714743268,40
27,ZM,19,18,517.4282531523437,655.4757263867189,40
28,DQ,25,25,110.67802570019535,110.71206900537109,40
29,RUN,21,22,94.74224540332028,82.04319020166015,40
30,MRNA,22,22,983.3842272802733,1020.9207670458982,40
31,NVAX,16,17,563.9906710629882,625.2243304907227,40
32,AMD,19,20,261.6293967138671,225.41574176562483,40
33,TWTR,22,22,79.1242564741211,79.8734669018555,40
34,FSLR,24,24,100.20399930520625,96.89048143274533,40
35,RIDE,14,15,32.54541300463258,30.676429032427976,40
36,WKHS,13,13,38.49472645476074,46.28111852587891,40
37,NKLA,17,17,61.35741720434571,65.88329444140626,40
38,BLNK,21,21,95.43953761035155,78.09344686376954,40
39,XPEV,21,20,57.93872867578126,65.34989337060547,40
40,LI,18,18,53.25666756671142,75.35411753131103,40
41,F,23,18,15.529024858337408,23.34053429022217,40
42,ABNB,22,25,142.6839345178223,136.56984586938472,40
43,NIO,20,19,56.27711762402346,67.66545582568357,40
44,SQ,19,17,306.23754286621084,278.72627286621093,40
45,COIN,12,12,431.3942310791016,370.0336710791016,27
46,DASH,18,18,307.0495326757815,248.41283093750002,40
47,SNOW,17,19,374.96216173828134,405.66603732421885,40
48,SPY,21,22,199.84721018554694,208.44186483398465,39
