,BestSchool,Safest,LargestIncomeGrowth,LargestHomeAppreciationSince2000,MostExpensive
Edwards,11.0,11.0,3.0,11.0,7.0
Ames Northwest,7.0,11.0,5.0,11.0,11.0
University Village / Schilletter Village,10.0,3.0,4.0,4.0,11.0
Westside / Oak-Wood-Forest,11.0,11.0,7.0,6.0,9.0
College Creek,11.0,11.0,2.0,5.0,6.0
Onion Creek,1.0,5.0,11.0,11.0,11.0
Somerset Village / Northridge,2.0,4.0,10.0,3.0,1.0
Oak-Riverside,9.0,11.0,6.0,11.0,11.0
Bloomington Heights / Top-O-Hollow,4.0,7.0,11.0,9.0,3.0
Ontario,11.0,8.0,11.0,11.0,11.0
Iowa State University,6.0,1.0,11.0,1.0,5.0
Allenview,5.0,11.0,11.0,11.0,11.0
Historic Old Town / North Old Town,11.0,11.0,9.0,10.0,11.0
Bloomington / Shipley,3.0,6.0,11.0,8.0,4.0
Kate Mitchell,8.0,11.0,8.0,11.0,11.0
Timber East / State Ave,11.0,9.0,11.0,7.0,8.0
South Campus Area,11.0,10.0,11.0,11.0,10.0
Iowa State University South,11.0,2.0,1.0,2.0,2.0
