Housing DataSet ID,Housing DataSet Name,Neighborhood Scout Name
Blmngtn,Bloomington Heights,Bloomington Heights / Top-O-Hollow
Blueste,Bluestem,Timber East / State Ave
BrDale,Briardale,Ames Northwest
BrkSide,Brookside,University Village / Schilletter Village
ClearCr,Clear Creek,Bloomington Heights / Top-O-Hollow
CollgCr,College Creek,College Creek
Crawfor,Crawford,Timber East / State Ave
Edwards,Edwards,Edwards
Gilbert,Gilbert,Bloomington Heights / Top-O-Hollow
IDOTRR,Iowa DOT and Rail Road,Oak-Riverside
MeadowV,Meadow Village,Kate Mitchell
Mitchel,Mitchell,Kate Mitchell
NAmes,North Ames,Allenview
NoRidge,Northridge,Somerset Village / Northridge
NPkVill,Northpark Villa,Ames Northwest
NridgHt,Northridge Heights,Ames Northwest
NWAmes,Northwest Ames,Ames Northwest
OldTown,Old Town,Historic Old Town / North Old Town
SWISU,South & West of Iowa State University,Kate Mitchell
Sawyer,Sawyer,Ontario
SawyerW,Sawyer West,Ontario
Somerst,Somerset,Somerset Village / Northridge
StoneBr,Stone Brook,Bloomington Heights / Top-O-Hollow
Timber,Timberland,Kate Mitchell
Veenker,Veenker,Onion Creek
