Year,CPI
1981,94.0
1982,97.6
1983,101.3
1984,105.3
1985,109.3
1986,110.5
1987,115.4
1988,120.5
1989,126.1
1990,133.8
1991,137.9
1992,141.9
1993,145.8
1994,149.7
1995,153.5
1996,158.6
1997,161.3
1998,163.9
1999,168.3
2000,174.0
2001,176.7
2002,180.9
2003,184.3
2004,190.3
2005,196.8
2006,201.8
2007,210.036
2008,210.228
2009,215.949
2010,219.179
2011,225.672
2012,229.601
2013,233.049
2014,234.812
2015,236.525
2016,241.432
2017,246.524
2018,251.233
2019,256.974
2020,260.474
2021,278.802
2022,292.296
